Per,X19hex,Fuco,Pra,Viol,Allo,Zea
0,0.06759,0.02083,0,0,0.0059,0
0,0.01762,0.01437,0,0,0.0039,0
0,0.03824,0.05276,0,0,0.00432,0
0,0.03916,0.05111,0,0,0.004,0
0,0.04438,0.03735,0,0,0.00308,0
0,0.18071,0.07992,0,0,0.00624,0
0,0.0718,0.03818,0,0,0.0042,0
0,0.0245,0.02392,0,0,0.00463,0
0,0.02525,0.03079,0,0,0.00523,0
0,0.02707,0.0378,0,0,0.00478,0
0,0.02773,0.03975,0,0,0.00471,0
0,0.03597,0.05206,0,0,0.00686,0
0,0.0245,0.02112,0,0,0.00398,0
0,0.00363,0.01304,0,0,0.00502,0
0,0.04238,0.11132,0,0,0.00484,0
0,0.05454,0.13204,0,0,0.00468,0
0,0.08693,0.19251,0,0,0.00731,0
0,0.06514,0.08312,0,0,0.00551,0
0,0.02285,0.03824,0,0,0.0039,0
0,0.00431,0.01514,0,0,0.00273,0
0,0.04856,0.1358,0,0,0.00541,0
0,0.06742,0.2348,0,0,0.00632,0
0,0.07368,0.24887,0,0,0.00574,0
0,0.08142,0.18997,0,0,0.01107,0.0057
0,0.03608,0.08475,0,0,0.01185,0.00565
0,0.01335,0.04014,0,0,0.00522,0.00274
0,0.05026,0.18372,0,0,0.00622,0
0,0.05456,0.18137,0,0,0.0055,0
0,0.06526,0.22665,0,0,0.00591,0
0,0.10335,0.1974,0,0,0.00735,0
0,0.01881,0.03496,0,0,0.00397,0
0,0.00328,0.01364,0,0,0.00434,0
0,0.03354,0.11643,0,0,0.00513,0
0,0.03622,0.11985,0,0,0.00466,0
0,0.0416,0.14189,0,0,0.00511,0
0,0.04864,0.19078,0,0,0.00785,0
0.00355,0.05232,0.11445,0,0,0.01441,0.00305
0,0.01249,0.0384,0,0,0.0039,0.00308
0,0.19125,1.27241,0,0,0.01545,0.01513
0,0.14647,0.93263,0.00301,0,0.01513,0.01453
0.00811,0.04976,0.23099,0.00213,0,0.01391,0.01614
0,0.02739,0.11985,0.00216,0,0.00943,0.01367
0,0.02407,0.083,0,0,0.01098,0.0106
0,0.01887,0.04733,0.00171,0,0.00685,0.00922
0,0.14211,0.83867,0,0,0.0158,0.0023
0,0.14021,0.61968,0,0,0.00988,0
0,0.28018,1.2983,0.00852,0,0.01319,0.02436
0,0.19789,0.94509,0.00877,0,0.02413,0.04687
0,0.01658,0.0545,0,0,0.00761,0.00567
0,0.01475,0.02578,0,0,0.00443,0.003
